Latitude,Longitude,Location Count
39.986656238095236,-76.34887795238095,21
40.28956655555555,-76.77367144444445,9
40.6843296,-76.2312368,5
39.86989442857143,-77.665159,7
40.344170954545454,-75.923429,22
40.612239125,-77.57477312500001,8
39.96704028571428,-76.69771923809525,21
41.22950342857143,-76.87047657142857,7
39.802885833333335,-76.98633008333333,12
40.0607505,-76.18702295454545,22
40.31461921428571,-76.49965621428572,14
41.50974,-75.699714,1
40.862448,-76.7621944,5
41.10539,-78.38756,1
40.09400776923077,-76.42405453846153,13
40.162322208333336,-76.31034341666667,24
40.483587666666665,-77.10163533333333,3
40.15654157142857,-75.85944342857142,7
41.02916925,-76.22731375000001,4
40.15000033333333,-76.596874,9
40.065802052631575,-76.529185,19
39.88552653846154,-76.16365361538462,13
40.21843547826087,-76.16397591304347,23
40.212436375,-76.854659625,8
40.638234499999996,-76.0737355,6
39.742501,-76.654699,3
40.192346799999996,-77.0205424,5
39.839122333333336,-77.23504566666666,3
40.06278431818182,-76.31753806060605,66
